skill	status	nexa_area	purpose	bundle_path
security-threat-model	conditional	Seguridad	Threat modeling basado en repositorio, activos y trust boundaries	skills/security-threat-model
security-best-practices	conditional	Angular/TypeScript	Revisión secure-by-default para código TypeScript/JavaScript	skills/security-best-practices
figma	conditional	Diseño	Contexto, screenshots, variables, assets y traducción Figma-código	skills/figma
figma-use	conditional	Diseño	Prerequisito para operaciones de lectura/escritura con Figma MCP	skills/figma-use
figma-generate-design	conditional	Diseño	Construir o actualizar pantallas completas en Figma	skills/figma-generate-design
figma-generate-library	conditional	Design Lab	Crear o reconciliar librerías, variables y tokens en Figma	skills/figma-generate-library
figma-implement-design	conditional	Angular/UI	Implementar diseños Figma con fidelidad visual	skills/figma-implement-design
figma-create-design-system-rules	conditional	Design Lab	Generar reglas de diseño específicas para el código	skills/figma-create-design-system-rules
figma-code-connect-components	conditional	Design Lab	Mapear componentes Figma con componentes de código	skills/figma-code-connect-components
render-deploy	conditional	Deploy	Analizar y desplegar servicios o sitios en Render	skills/render-deploy
netlify-deploy	conditional	Deploy	Preview/producción de sitios en Netlify	skills/netlify-deploy
vercel-deploy	conditional	Deploy	Preview/producción de aplicaciones en Vercel	skills/vercel-deploy
cloudflare-deploy	conditional	Deploy	Workers, Pages e infraestructura Cloudflare	skills/cloudflare-deploy
screenshot	conditional	Evidencia	Capturas del sistema o escritorio cuando se soliciten	skills/screenshot
sentry	conditional	Operaciones	Consultar issues/eventos y salud de Sentry	skills/sentry
jupyter-notebook	conditional	Analytics	Crear notebooks reproducibles de análisis o experimentos	skills/jupyter-notebook
flutter-apply-architecture-best-practices	future	Mobile	Arquitectura Flutter por capas UI, Logic y Data	skills/flutter-apply-architecture-best-practices
flutter-add-integration-test	future	Mobile	Integración Flutter Driver/integration_test para flujos	skills/flutter-add-integration-test
flutter-add-widget-preview	future	Mobile	Previews interactivos de widgets	skills/flutter-add-widget-preview
flutter-add-widget-test	future	Mobile	Tests de widgets con WidgetTester	skills/flutter-add-widget-test
flutter-build-responsive-layout	future	Mobile	Layouts Flutter responsive para móvil/tablet/desktop	skills/flutter-build-responsive-layout
flutter-fix-layout-issues	future	Mobile	Diagnóstico de overflows y constraints Flutter	skills/flutter-fix-layout-issues
flutter-implement-json-serialization	future	Mobile/API	Modelos Dart con fromJson/toJson	skills/flutter-implement-json-serialization
flutter-setup-declarative-routing	future	Mobile	Routing declarativo y deep links con go_router	skills/flutter-setup-declarative-routing
flutter-setup-localization	future	Mobile	Localización Flutter, intl y generación de l10n	skills/flutter-setup-localization
flutter-use-http-package	future	Mobile/API	Consumo REST desde Flutter con http	skills/flutter-use-http-package
swiftui-expert-skill	future	Mobile	SwiftUI, estado, composición, rendimiento y accesibilidad	skills/swiftui-expert-skill
kotlin-tooling-agp9-migration	future	Mobile/KMP	Migración de tooling Kotlin Multiplatform/AGP 9	skills/kotlin-tooling-agp9-migration
kotlin-tooling-cocoapods-spm-migration	future	Mobile/KMP	Migración CocoaPods a Swift Package Manager	skills/kotlin-tooling-cocoapods-spm-migration
kotlin-tooling-immutable-collections-0-5-x-migration	future	Mobile/Kotlin	Migración de kotlin immutable collections	skills/kotlin-tooling-immutable-collections-0-5-x-migration
kotlin-tooling-java-to-kotlin	future	Mobile/Kotlin	Conversión segura de Java a Kotlin	skills/kotlin-tooling-java-to-kotlin
